timestamp,day_of_week,hour,origin,destination,duration_min,distance_km,departure,arrival
2026-08-10 12:47:53,Monday,12,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,7:47 PM,9:30 PM
2026-08-10 14:15:05,Monday,14,KMUTT Bangkok,ใต้ทางด่วน กม.9,34.7,3.08,9:15 PM,9:49 PM
2026-08-10 14:15:06,Monday,14,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.4,3.2,9:15 PM,9:53 PM
2026-08-10 14:15:06,Monday,14,ใต้ทางด่วน กม.9,Mo Chit BTS Station,59.4,20.48,9:15 PM,10:14 PM
2026-08-10 14:15:06,Monday,14,ใต้ทางด่วน กม.9,Siam Paragon,49.3,13.96,9:15 PM,10:04 PM
2026-08-10 14:15:06,Monday,14,KMUTT Bangkok,The Mall Life Store BangKae,114.8,18.65,9:15 PM,11:09 PM
2026-08-10 14:15:07,Monday,14,KMUTT Bangkok,Opposite Bangpakok Market,30.9,3.62,9:15 PM,9:45 PM
2026-08-10 14:15:07,Monday,14,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,9:15 PM,10:57 PM
2026-08-10 15:29:27,Monday,15,KMUTT Bangkok,ใต้ทางด่วน กม.9,34.7,3.08,10:29 PM,11:04 PM
2026-08-10 15:29:28,Monday,15,ใต้ทางด่วน กม.9,KMUTT Bangkok,34.8,3.2,10:29 PM,11:04 PM
2026-08-10 15:29:28,Monday,15,ใต้ทางด่วน กม.9,Mo Chit BTS Station,59.4,20.48,10:29 PM,11:28 PM
2026-08-10 15:29:28,Monday,15,ใต้ทางด่วน กม.9,Siam Paragon,49.3,13.96,10:29 PM,11:18 PM
2026-08-10 15:29:28,Monday,15,KMUTT Bangkok,The Mall Life Store BangKae,114.8,18.65,10:29 PM,12:24 AM
2026-08-10 15:29:29,Monday,15,KMUTT Bangkok,Opposite Bangpakok Market,30.9,3.62,10:29 PM,11:00 PM
2026-08-10 15:29:29,Monday,15,วัดแค บางปลากด,KMUTT Bangkok,102.8,14.19,10:29 PM,12:12 AM
2026-08-10 16:23:59,Monday,16,KMUTT Bangkok,ใต้ทางด่วน กม.9,34.7,3.08,11:23 PM,11:58 PM
2026-08-10 16:23:59,Monday,16,ใต้ทางด่วน กม.9,KMUTT Bangkok,36.8,3.2,11:23 PM,12:00 AM
2026-08-10 16:23:59,Monday,16,ใต้ทางด่วน กม.9,Mo Chit BTS Station,79.8,19.84,11:23 PM,12:43 AM
2026-08-10 16:23:59,Monday,16,ใต้ทางด่วน กม.9,Siam Paragon,49.3,13.96,11:23 PM,12:13 AM
2026-08-10 16:24:00,Monday,16,KMUTT Bangkok,The Mall Life Store BangKae,109.6,21.68,11:25 PM,1:15 AM
2026-08-10 16:24:00,Monday,16,KMUTT Bangkok,Opposite Bangpakok Market,30.9,3.62,11:24 PM,11:54 PM
2026-08-10 16:24:00,Monday,16,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,5:13 AM,6:55 AM
2026-08-10 17:22:33,Monday,17,KMUTT Bangkok,ใต้ทางด่วน กม.9,38.3,2.77,N/A,N/A
2026-08-10 17:22:33,Monday,17,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.5,2.78,N/A,N/A
2026-08-10 17:22:33,Monday,17,ใต้ทางด่วน กม.9,Mo Chit BTS Station,72.4,24.97,12:30 AM,1:42 AM
2026-08-10 17:22:33,Monday,17,ใต้ทางด่วน กม.9,Siam Paragon,78.7,23.03,12:30 AM,1:49 AM
2026-08-10 17:22:34,Monday,17,KMUTT Bangkok,The Mall Life Store BangKae,118.8,17.47,4:55 AM,6:53 AM
2026-08-10 17:22:34,Monday,17,KMUTT Bangkok,Opposite Bangpakok Market,49.4,3.54,N/A,N/A
2026-08-10 17:22:34,Monday,17,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,5:13 AM,6:55 AM
2026-08-10 18:11:15,Monday,18,KMUTT Bangkok,ใต้ทางด่วน กม.9,38.3,2.77,N/A,N/A
2026-08-10 18:11:15,Monday,18,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.5,2.78,N/A,N/A
2026-08-10 18:11:16,Monday,18,ใต้ทางด่วน กม.9,Mo Chit BTS Station,175.5,26.05,1:11 AM,4:06 AM
2026-08-10 18:11:16,Monday,18,ใต้ทางด่วน กม.9,Siam Paragon,123.5,16.66,1:11 AM,3:14 AM
2026-08-10 18:11:16,Monday,18,KMUTT Bangkok,The Mall Life Store BangKae,118.8,17.47,4:55 AM,6:53 AM
2026-08-10 18:11:16,Monday,18,KMUTT Bangkok,Opposite Bangpakok Market,49.4,3.54,N/A,N/A
2026-08-10 18:11:17,Monday,18,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,5:13 AM,6:55 AM
2026-08-10 19:28:20,Monday,19,KMUTT Bangkok,ใต้ทางด่วน กม.9,38.3,2.77,N/A,N/A
2026-08-10 19:28:20,Monday,19,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.5,2.78,N/A,N/A
2026-08-10 19:28:20,Monday,19,ใต้ทางด่วน กม.9,Mo Chit BTS Station,161.0,23.03,2:28 AM,5:09 AM
2026-08-10 19:28:21,Monday,19,ใต้ทางด่วน กม.9,Siam Paragon,123.5,16.66,2:33 AM,4:36 AM
2026-08-10 19:28:21,Monday,19,KMUTT Bangkok,The Mall Life Store BangKae,118.8,17.47,4:55 AM,6:53 AM
2026-08-10 19:28:21,Monday,19,KMUTT Bangkok,Opposite Bangpakok Market,49.4,3.54,N/A,N/A
2026-08-10 19:28:21,Monday,19,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,5:13 AM,6:55 AM
2026-08-10 20:08:38,Monday,20,KMUTT Bangkok,ใต้ทางด่วน กม.9,38.3,2.77,N/A,N/A
2026-08-10 20:08:39,Monday,20,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.5,2.78,N/A,N/A
2026-08-10 20:08:39,Monday,20,ใต้ทางด่วน กม.9,Mo Chit BTS Station,107.1,38.23,3:34 AM,5:21 AM
2026-08-10 20:08:39,Monday,20,ใต้ทางด่วน กม.9,Siam Paragon,114.3,31.2,3:34 AM,5:28 AM
2026-08-10 20:08:39,Monday,20,KMUTT Bangkok,The Mall Life Store BangKae,118.8,17.47,4:55 AM,6:53 AM
2026-08-10 20:08:39,Monday,20,KMUTT Bangkok,Opposite Bangpakok Market,49.4,3.54,N/A,N/A
2026-08-10 20:08:40,Monday,20,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,5:13 AM,6:55 AM
2026-08-10 21:09:45,Monday,21,KMUTT Bangkok,ใต้ทางด่วน กม.9,38.3,2.77,N/A,N/A
2026-08-10 21:09:45,Monday,21,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.5,2.78,N/A,N/A
2026-08-10 21:09:46,Monday,21,ใต้ทางด่วน กม.9,Mo Chit BTS Station,59.4,20.48,4:42 AM,5:41 AM
2026-08-10 21:09:46,Monday,21,ใต้ทางด่วน กม.9,Siam Paragon,86.1,19.01,4:34 AM,6:00 AM
2026-08-10 21:09:46,Monday,21,KMUTT Bangkok,The Mall Life Store BangKae,118.8,17.47,4:55 AM,6:53 AM
